title,platform,platforms_available,appId,store_url,genre,contentRating,score,free,price,offersIAP,IAPRange,installs,developer,developerWebsite,privacyPolicy,released,updated,app_type,web_accessible,web_url,login_required,login_methods,age_verification_required,age_verification_method,subscription_required_for_long_chat,all_features_available_without_subscription,subscription_features,subscription_cost,languages_supported
MiraiMind -- Real Otaku Energy,android,android,com.immomo.miraimind,https://play.google.com/store/apps/details?id=com.immomo.miraimind&hl=en&gl=us,Entertainment,Adults only 18+,3.2079208,TRUE,0,TRUE,$0.49 - $489.99 per item,"1,000,000+","HELLO GROUP JAPAN CO., LTD.",https://raburo.hellogroupjapan.com/,https://raburo.hellogroupjapan.com/privacy.html,22-May-25,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Tokimeki AI: Virtual Love Sim,android,android,com.fjsh.throbfe,https://play.google.com/store/apps/details?id=com.fjsh.throbfe&hl=en&gl=us,Entertainment,Everyone,3,TRUE,0,FALSE,,"10,000+",fjsh,https://www.fjsh.dev/all,https://www.fjsh.dev/all,14-Jul-24,1.76E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
AI Friend: Chat with Character,android,android,com.fjsh.fantalk,https://play.google.com/store/apps/details?id=com.fjsh.fantalk&hl=en&gl=us,Entertainment,Everyone,3.625,TRUE,0,FALSE,,"10,000+",fjsh,,https://www.fjsh.dev/all,22-Oct-24,1.76E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Rosytalk: AI Character Chat,android,android,com.rosytalk.ai,https://play.google.com/store/apps/details?id=com.rosytalk.ai&hl=en&gl=us,Entertainment,Mature 17+,4.4882154,TRUE,0,TRUE,$2.99 - $199.99 per item,"1,000,000+",MINDZEN AI,https://www.rosychat.ai,https://www.rosychat.ai/rosytalk/privacy.html,24-Feb-24,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Korean Boyfriend Maker,android,android+ios,com.shofj.koreanboyfriendmaker,https://play.google.com/store/apps/details?id=com.shofj.koreanboyfriendmaker&hl=en&gl=us,Entertainment,Everyone,0,TRUE,0,FALSE,,"1,000+",fjsh,https://shofj.com/,https://shofj.com/en/apps/korean-boyfriend/privacy-policy,01-Dec-25,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
"Linky AI: Chat, Play, Connect",android,android,com.aigc.ushow.ichat,https://play.google.com/store/apps/details?id=com.aigc.ushow.ichat&hl=en&gl=us,Social,Mature 17+,4.0231466,TRUE,0,TRUE,$0.49 - $269.99 per item,"10,000,000+",Skywork AI Pte. Ltd.,https://api.linke.ai/,https://support.linke.ai/privacy-policy,03-Jul-23,1.78E+12,companion,TRUE,https://linky.ai,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messages, premium characters, voice calls",$9.99/month,"en, zh, ja, ko, es"
Husby: AI Partner & AI BF Chat,android,android,weappico.husby,https://play.google.com/store/apps/details?id=weappico.husby&hl=en&gl=us,Entertainment,Mature 17+,4.40566,TRUE,0,TRUE,$7.49 - $99.99 per item,"100,000+",Weappico Limited,,https://doc-hosting.flycricket.io/husby-privacy-policy/d2a77237-686d-411a-be9b-1b9b15978ae2/privacy,31-Mar-25,1.76E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Jaxi - AI Boyfriend Chat,android,android,com.castlepumpkin.jaxi,https://play.google.com/store/apps/details?id=com.castlepumpkin.jaxi&hl=en&gl=us,Entertainment,Teen,4.2941175,TRUE,0,TRUE,$7.99 - $89.99 per item,"10,000+",castlepumpkin,https://castlepumpkin.blogspot.com/,https://immediate-snowflake-c47.notion.site/Jaxi-Privacy-Policy-f83e64920ac049fca3830414bf039fa2?pvs=4,24-Sep-24,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Éloi: French AI Boyfriend,android,android,french.ai.boyfriend.bf.romantic.virtual.dating.lover.relationship.companion,https://play.google.com/store/apps/details?id=french.ai.boyfriend.bf.romantic.virtual.dating.lover.relationship.companion&hl=en&gl=us,Entertainment,Mature 17+,4.6666665,TRUE,0,FALSE,,"1,000+",Jani Infotech,https://janiinfotechapps.blogspot.com/,https://sites.google.com/view/janiinfotech-privacy-policy/home,31-Dec-24,1.76E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Nomi: AI Companion with a Soul,android,android+ios,ai.nomi.twa,https://play.google.com/store/apps/details?id=ai.nomi.twa&hl=en&gl=us,Lifestyle,Teen,4.2285714,TRUE,0,TRUE,$4.99 - $99.99 per item,"100,000+",Nomi.ai,https://beta.nomi.ai,https://beta.nomi.ai/privacy-policy/,07-Jul-23,1.77E+12,companion,TRUE,https://nomi.ai,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messages, voice notes, companion calls, custom memories",$13.99/month,en
Virtual Boyfriend: AI Romance,android,android,com.testa.boybot,https://play.google.com/store/apps/details?id=com.testa.boybot&hl=en&gl=us,Entertainment,Everyone,3.94,TRUE,0,TRUE,$0.99 - $44.99 per item,"500,000+",RoboBot Studio,http://www.robobotstudio.com/,https://www.robobotstudio.com/privacy-policy.html,10-Feb-18,1.76E+12,mixed,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, premium characters, advanced AI",$9.99/month,en
Replika: My AI Friend,android,android,ai.replika.app,https://play.google.com/store/apps/details?id=ai.replika.app&hl=en&gl=us,Health & Fitness,Teen,4.27981,TRUE,0,TRUE,$0.99 - $299.99 per item,"10,000,000+","Luka, Inc",https://replika.ai,https://replika.ai/privacy,08-Sep-17,1.78E+12,mixed,TRUE,https://my.replika.com,TRUE,"email/password, Apple, Google",TRUE,self-declaration,TRUE,FALSE,"romantic partner role, voice calls, AR, HD avatars, memory",$19.99/month,"en, es, fr, de, it, pt, ja, ko, zh"
James: British AI Boyfriend,android,android,james.british.ai.boyfriend.virtual.dating.lover.relationship.bf.romance.companion,https://play.google.com/store/apps/details?id=james.british.ai.boyfriend.virtual.dating.lover.relationship.bf.romance.companion&hl=en&gl=us,Entertainment,Teen,4.362069,TRUE,0,FALSE,,"10,000+",Jani Infotech,https://janiinfotechapps.blogspot.com/,https://sites.google.com/view/janiinfotech-privacy-policy/home,12-Nov-24,1.76E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Kindroid: Your Personal AI,android,android+ios,com.kindroid.app,https://play.google.com/store/apps/details?id=com.kindroid.app&hl=en&gl=us,Entertainment,Mature 17+,4.514159,TRUE,0,TRUE,$3.49 - $149.99 per item,"1,000,000+",Kindroid,https://kindroid.ai,https://kindroid.ai/legal,28-Jul-23,1.77E+12,companion,TRUE,https://kindroid.ai,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, image gen, advanced memory, NSFW mode",$9.99/month,"en, es, fr, de, pt, ja, ko, zh"
AI Girlfriend and Boyfriend,android,android,com.ai.gf.bf,https://play.google.com/store/apps/details?id=com.ai.gf.bf&hl=en&gl=us,Photography,Everyone,0,TRUE,0,FALSE,,"1,000+",Bytes Arena,https://bytesarena.com/,https://bytesarena.com/Ai-Girlfriend-And-Boyfriend-privacy-policy.html,27-Nov-25,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
AI Boyfriend - LuvBae,android,android,com.luminalabs.luvbae,https://play.google.com/store/apps/details?id=com.luminalabs.luvbae&hl=en&gl=us,Entertainment,Everyone,0,TRUE,0,TRUE,$2.99 - $59.99 per item,500+,Lumina Labs,https://n2720fd66.app-ads-txt.com,https://docs.google.com/document/d/18MTzUv1cPM8Gx5lgWw9H7yVcriqklakBVr0nniNm5ko/edit?usp=sharing,13-Dec-25,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
