title,platform,platforms_available,appId,store_url,genre,contentRating,score,free,price,offersIAP,IAPRange,installs,developer,developerWebsite,privacyPolicy,released,updated,app_type,web_accessible,web_url,login_required,login_methods,age_verification_required,age_verification_method,subscription_required_for_long_chat,all_features_available_without_subscription,subscription_features,subscription_cost,languages_supported
dotdotdot Fantasy AI Boyfriend,android,android+ios,com.rheality.dot,https://play.google.com/store/apps/details?id=com.rheality.dot&hl=en&gl=us,Entertainment,Mature 17+,3.79,True,0.0,True,$0.99 - $99.99 per item,"100,000+",Dotdotdot Inc.,https://dotdotdot.chat,https://dotdotdot-ai.notion.site/Dotdotdot-Privacy-Policy-1c3f48194caa8013b5a4f3be4e2ee4de?pvs=4,"Apr 3, 2025",1774859152000,companion,False,,True,"email/password, Google, Apple",True,self-declaration,True,False,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Luna: AI Girlfriend Chat,android,android,com.antonio.my.ai.girlfriend.free,https://play.google.com/store/apps/details?id=com.antonio.my.ai.girlfriend.free&hl=en&gl=us,Health & Fitness,Mature 17+,4.706215,True,0.0,False,,"500,000+",Awesome Game Studio,https://awesomegamestudio.site,https://awesomegamestudio.site/ai-girlfriend-chat-policy.html,"Jul 27, 2023",1755867652000,companion,False,,True,"email/password, Google, Apple",True,self-declaration,True,False,"unlimited messaging, voice calls, premium characters",$9.99/month,en
AI Girlfriend Chat: Sparks,android,android,app.mv.sparks,https://play.google.com/store/apps/details?id=app.mv.sparks&hl=en&gl=us,Entertainment,Mature 17+,4.07,True,0.0,True,$6.99 - $69.99 per item,"10,000+",FlaviusApps,https://lovesparks.ai,https://lovesparks.ai/privacy-policy,"Jul 21, 2024",1756552489000,companion,False,,True,"email/password, Google, Apple",True,self-declaration,True,False,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Flamify: Love Chat & AI Dating,android,android,flamify.ai.app,https://play.google.com/store/apps/details?id=flamify.ai.app&hl=en&gl=us,Entertainment,Mature 17+,4.1759257,True,0.0,True,$3.49 - $89.99 per item,"10,000+",Flamify AI,https://flamify.ai/,https://flamify.ai/privacy,"Apr 15, 2025",1762897562000,companion,True,https://flamify.ai/,True,"email/password, Google, Apple",True,self-declaration,True,False,"unlimited messaging, voice calls, premium characters",$9.99/month,en
HotChat: Character AI Chat,android,android,com.hotchatai.roleplaywithairoles,https://play.google.com/store/apps/details?id=com.hotchatai.roleplaywithairoles&hl=en&gl=us,Entertainment,Mature 17+,3.96,True,0.0,True,$1.99 - $49.99 per item,"100,000+",Make Betters,,https://www.hotchatline.xyz/privacypolicy.html,"Dec 15, 2024",1756358730000,companion,False,,True,"email/password, Google, Apple",True,self-declaration,True,False,"unlimited messaging, voice calls, premium characters",$9.99/month,en
AI Girlfriend 18+,android,android,com.intimaioficial,https://play.google.com/store/apps/details?id=com.intimaioficial&hl=en&gl=us,Entertainment,Mature 17+,,True,0.0,True,$4.99 - $334.99 per item,"100,000+",Controle o Bruxismo e a Ansiedade,,https://privacypolicyintimai.blogspot.com/2024/10/privacy-policy-intimai.html,,1775707839000,companion,False,,True,"email/password, Google, Apple",True,self-declaration,True,False,"unlimited messaging, voice calls, premium characters",$9.99/month,en
WaifuChat: AI Anime Fantasy,android,android+ios,ai.discolabs.waifuchat,https://play.google.com/store/apps/details?id=ai.discolabs.waifuchat&hl=en&gl=us,Entertainment,Teen,4.4653463,True,0.0,True,$0.99 - $99.99 per item,"100,000+",Disco Labs LLC,https://waifuchat.ai,https://waifuchat.notion.site/Privacy-Policy-0bd4a878555e4c679fcc03f2c1189218,"Jun 7, 2023",1765533862000,companion,False,,True,"email/password, Google, Apple",True,self-declaration,True,False,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Girlfriend AI & RP - SFM AI,android,android,com.secretfriend.match,https://play.google.com/store/apps/details?id=com.secretfriend.match&hl=en&gl=us,Entertainment,Adults only 18+,4.371134,True,0.0,True,$0.99 - $34.99 per item,"10,000+",IAForge Studio,https://secretfriendmatch.com/,https://secretfriendmatch.com/privacy-policy.html,"Nov 22, 2025",1775979446000,companion,False,,True,"email/password, Google, Apple",True,self-declaration,True,False,"unlimited messaging, voice calls, premium characters",$9.99/month,en
DreamGF: AI Girlfriend Chat,android,android,com.mavtao.girlfriend.ai,https://play.google.com/store/apps/details?id=com.mavtao.girlfriend.ai&hl=en&gl=us,Entertainment,Mature 17+,4.029412,True,0.0,True,$2.99 - $99.99 per item,"100,000+",Avacasa,https://worify.com,https://your3am.com/privacy-policy,"Jan 22, 2024",1775937618000,companion,True,https://dreamgf.ai,True,"email/password, Google, Apple",True,self-declaration,True,False,"unlimited messages, image generation, voice, NSFW",$12.99/month,en
Girly - AI Girlfriend Chat,android,android,weappico.girly.android,https://play.google.com/store/apps/details?id=weappico.girly.android&hl=en&gl=us,Entertainment,Mature 17+,4.54,True,0.0,True,$6.49 - $59.99 per item,"50,000+",Weappico Limited,,https://doc-hosting.flycricket.io/girly-privacy-policy/a1a88b34-2988-4ee6-a2f3-ab2c6d0a7b52/privacy,"Jul 9, 2025",1760684503000,companion,False,,True,"email/password, Google, Apple",True,self-declaration,True,False,"unlimited messaging, voice calls, premium characters",$9.99/month,en
